Algorithm,Scenario,Perc,Chunk,Accuracy,Precision,Recall,F1_Macro,Kappa,Time_s,Predictions_OK
SRP,chunks_scenario_1,100,2,0.8562962962962963,0.8519068019719055,0.8532274182740576,0.8525184232301681,0.7807663717880893,2.178288698196411,True
SRP,chunks_scenario_1,100,3,0.876984126984127,0.8618707858985218,0.8666264030019261,0.8641110211332417,0.8057845717819552,2.833045244216919,True
SRP,chunks_scenario_1,100,4,0.8762117822520508,0.8623828005938359,0.8645715193702811,0.863364986149629,0.8054311733512571,3.5497100353240967,True
SRP,chunks_scenario_1,100,5,0.8789156626506024,0.8651207994526681,0.8685954124550617,0.8666667384902292,0.8101626640722345,4.058812379837036,True
SRP,chunks_scenario_1,100,6,0.8861283643892339,0.8737336736288145,0.8754090100936397,0.8742980206008775,0.8216213970388582,4.529842376708984,True
SRP,chunks_scenario_1,100,7,0.8825124265702666,0.8695565335891272,0.8691651418664686,0.8687427286016783,0.816064160483045,5.175989627838135,True
SRP,chunks_scenario_1,100,8,0.8867617107942973,0.8740878130778197,0.871468284881515,0.8719056413090672,0.8219096367999316,5.705938339233398,True
SRP,chunks_scenario_1,100,9,0.8908959537572254,0.8798510641683626,0.8774605022091188,0.8779333528447942,0.8289347858072942,6.528443336486816,True
OSNN,chunks_scenario_1,25,1,0.4556962025316455,0.3779904306220096,0.5151515151515151,0.3781818181818182,0.2432613054132323,26.78454065322876,True
OSNN,chunks_scenario_1,25,10,0.522077922077922,0.3494001475626889,0.457009922613113,0.3871613375640712,0.1842234057866705,324.9258577823639,True
OSNN,chunks_scenario_1,25,2,0.4497041420118343,0.2908658512910114,0.4351851851851852,0.3486760573213943,0.1564965383996135,73.59251976013184,True
OSNN,chunks_scenario_1,25,3,0.4980237154150198,0.3048617305976806,0.4439775910364146,0.3614345114345114,0.1727768909942846,120.0872564315796,True
OSNN,chunks_scenario_1,25,4,0.5192878338278932,0.3233591867912333,0.4579184247538677,0.3779909973939825,0.1976426324916964,144.08761548995972,True
OSNN,chunks_scenario_1,25,5,0.5107913669064749,0.3185358255451713,0.4390956713537359,0.3646076863131126,0.1689818885176719,188.2950112819672,True
OSNN,chunks_scenario_1,25,6,0.5216494845360825,0.33410101010101,0.4510882563979909,0.3779171466359486,0.1862004122518353,209.6977174282074,True
OSNN,chunks_scenario_1,25,7,0.5143884892086331,0.3323013415892673,0.4453057708871662,0.3730044535799932,0.1724183554212882,239.0391445159912,True
OSNN,chunks_scenario_1,25,8,0.5170178282009724,0.3353301954072172,0.4434369711817745,0.372652847365491,0.1682981110226531,260.5550363063812,True
OSNN,chunks_scenario_1,25,9,0.5172413793103449,0.342283105022831,0.4521843960479073,0.3809351360051505,0.177281810250204,282.0036873817444,True
SLEADE,chunks_scenario_1,25,1,0.7088607594936709,0.6977213147812059,0.669071669071669,0.6746067045548143,0.5410457186158122,6.571223258972168,True
SLEADE,chunks_scenario_1,25,10,0.8025974025974026,0.7902973228388085,0.7634358828277072,0.7706586562795713,0.6849359319478842,77.2603542804718,True
SLEADE,chunks_scenario_1,25,2,0.7100591715976331,0.7084292726461401,0.6886865857454093,0.6926620624261787,0.5523057793155647,15.640988826751707,True
SLEADE,chunks_scenario_1,25,3,0.7391304347826086,0.7115047399857527,0.6899509803921569,0.6969924286084175,0.5795331503537884,23.8733823299408,True
SLEADE,chunks_scenario_1,25,4,0.744807121661721,0.7207846158494214,0.6994612138915937,0.7064806772486039,0.5902330053161406,32.2106032371521,True
SLEADE,chunks_scenario_1,25,5,0.7577937649880095,0.7347695707070706,0.7094978872923359,0.7168581131462489,0.6102443087173792,40.34727025032044,True
SLEADE,chunks_scenario_1,25,6,0.7731958762886598,0.754212850550959,0.7287863084323262,0.7362871892511068,0.6363425673464935,47.62643575668335,True
SLEADE,chunks_scenario_1,25,7,0.7787769784172662,0.759665158555474,0.7346806939830195,0.7419763281034957,0.6457681549777272,54.999744176864624,True
SLEADE,chunks_scenario_1,25,8,0.7876823338735819,0.7677296017730111,0.7426444526812498,0.7497385549802557,0.659288454242718,61.75695300102234,True
SLEADE,chunks_scenario_1,25,9,0.7959770114942529,0.781301724747565,0.7553169701399384,0.7625016014130269,0.6742410758429744,69.79141616821289,True
OSNN,chunks_scenario_1,25,1,0.4556962025316455,0.3779904306220096,0.5151515151515151,0.3781818181818182,0.2432613054132323,18.196065425872803,True
OSNN,chunks_scenario_1,25,10,0.5064935064935064,0.337683813092602,0.4372596496225608,0.3700454628114202,0.1527926571503025,243.25957798957825,True
OSNN,chunks_scenario_1,25,2,0.4615384615384615,0.2995979209571442,0.4474945533769063,0.3588852009904641,0.1725937483187173,48.29953002929688,True
OSNN,chunks_scenario_1,25,3,0.5138339920948617,0.3167427701674277,0.4585537918871252,0.3744063764604675,0.1947887287499675,81.35251998901367,True
OSNN,chunks_scenario_1,25,4,0.5192878338278932,0.3252829587119401,0.4509142053445851,0.3746086581021267,0.1867300272609453,96.09029293060304,True
OSNN,chunks_scenario_1,25,5,0.5035971223021583,0.3154301372386479,0.4283429831816929,0.3563817075056584,0.1499852289512556,127.76904940605164,True
OSNN,chunks_scenario_1,25,6,0.5092783505154639,0.3262943481848184,0.4345983151292885,0.3643262191978554,0.1588573926983895,143.27904629707336,True
OSNN,chunks_scenario_1,25,7,0.5017985611510791,0.3239396700070857,0.4294942783314877,0.3596761318280306,0.1459909060663191,176.0101010799408,True
OSNN,chunks_scenario_1,25,8,0.4991896272285251,0.320711357468676,0.4217917308615159,0.3533267781055391,0.13282785095699,194.87878584861755,True
OSNN,chunks_scenario_1,25,9,0.4985632183908046,0.3279557686400726,0.4279817595722934,0.3598035218513988,0.1389924711820669,214.88514375686648,True
OSNN,chunks_scenario_1,50,1,0.4556962025316455,0.3542850161871602,0.5011781011781012,0.3757982120051085,0.2318824194460147,22.93780469894409,True
OSNN,chunks_scenario_1,50,10,0.517578125,0.3422977346278317,0.4441393942524305,0.3751230654271991,0.1705030434478416,331.6647434234619,True
OSNN,chunks_scenario_1,50,2,0.4733727810650887,0.3068158200378996,0.4566369288997027,0.367022439007334,0.1890441979269163,69.31679368019104,True
OSNN,chunks_scenario_1,50,3,0.504950495049505,0.3118395685384483,0.4565957224011099,0.3705829627331334,0.1875908932960966,115.55779790878296,True
OSNN,chunks_scenario_1,50,4,0.5074404761904762,0.3154918524673406,0.4435226365606112,0.366876758181106,0.1714643304130162,139.03116083145142,True
OSNN,chunks_scenario_1,50,5,0.5048076923076923,0.3170473545302547,0.4322729558023675,0.360465697038587,0.1550905214379906,185.84590554237369,True
OSNN,chunks_scenario_1,50,6,0.5144628099173554,0.3317137261707032,0.4423198482932997,0.3722180573540214,0.1702050047421025,209.90052485466003,True
OSNN,chunks_scenario_1,50,7,0.5067628494138864,0.3299291819291819,0.4375753414206149,0.3677919263391444,0.1580071648569457,260.1180422306061,True
OSNN,chunks_scenario_1,50,8,0.5085296506904955,0.3314638162564233,0.4333484299516908,0.3648311518671758,0.1508941346817085,286.38730239868164,True
OSNN,chunks_scenario_1,50,9,0.5100864553314121,0.3348060681889271,0.4394501643797862,0.3696908446908447,0.1605177210596348,296.612535238266,True
SLEADE,chunks_scenario_1,50,1,0.8037974683544303,0.7964041067489344,0.7778685278685279,0.7819045992714025,0.695776397515528,5.274354457855225,True
SLEADE,chunks_scenario_1,50,10,0.845703125,0.8342717550377126,0.815597212466618,0.8213916487697027,0.7553745665672124,54.58029389381409,True
SLEADE,chunks_scenario_1,50,2,0.7958579881656804,0.7858256765464718,0.7827309060885703,0.7839970846422459,0.6882877343990164,11.371443271636965,True
SLEADE,chunks_scenario_1,50,3,0.8237623762376237,0.8006145109770318,0.7948522867090762,0.797424133650409,0.7202285728513715,17.725760221481323,True
SLEADE,chunks_scenario_1,50,4,0.8258928571428571,0.8067831332464879,0.7976443459038395,0.8014294814089032,0.723823975720789,23.53927636146545,True
SLEADE,chunks_scenario_1,50,5,0.8221153846153846,0.8043705398346795,0.7881484528543353,0.7939513410840985,0.7167425019668103,29.627912521362305,True
SLEADE,chunks_scenario_1,50,6,0.8316115702479339,0.8164837787354343,0.8001152015540122,0.8058246069158104,0.7325640521502133,34.472933530807495,True
SLEADE,chunks_scenario_1,50,7,0.8313796212804329,0.8154362575618475,0.8002237989878181,0.805281173813101,0.7329386751693738,39.79720997810364,True
SLEADE,chunks_scenario_1,50,8,0.8375304630381804,0.821488081577229,0.805031024413768,0.8102697094163253,0.7417898723317675,44.58885622024536,True
SLEADE,chunks_scenario_1,50,9,0.840778097982709,0.8272550735079683,0.8097384604707871,0.8152092232796649,0.7476039705630669,50.15144038200378,True
OSNN,chunks_scenario_1,50,1,0.4556962025316455,0.3542850161871602,0.5011781011781012,0.3757982120051085,0.2318824194460147,14.620389223098757,True
OSNN,chunks_scenario_1,50,10,0.4986979166666667,0.3292539292539292,0.4310584358739026,0.3640010568315282,0.1414185410387302,249.8614592552185,True
OSNN,chunks_scenario_1,50,2,0.4733727810650887,0.3068158200378996,0.4566369288997027,0.367022439007334,0.1890441979269163,43.231263637542725,True
OSNN,chunks_scenario_1,50,3,0.5089108910891089,0.3142549923195084,0.4593968428492892,0.3732062799674577,0.1927291478664432,75.05355644226074,True
